kind,run,trainer,game,net,seed,steps_cfg,steps_done,complete,final_return,batch,n_envs,n_steps,n_minibatches,unroll,vec_workers,vec_threads,double_buffer,worker_device,learner_gpus,precision,compiled,ddp,env_threads,mps,node,cfg_hash,path
run,pv_p_plunder_s1,ppo,plunder,nature,1,100000000,99999744,True,6.98,,192,128,8,,,,,,,fp32,False,,0,,,dac28e74,outputs/pv_p_plunder_s1
run,pv_p_plunder_s2,ppo,plunder,nature,2,100000000,99999744,True,7.13,,192,128,8,,,,,,,fp32,False,,0,,,dac28e74,outputs/pv_p_plunder_s2
run,pv_p_qbert_s0,ppo,qbert,nature,0,100000000,99999744,True,300.627,,192,128,8,,,,,,,fp32,False,,0,,,06236bf2,outputs/pv_p_qbert_s0
run,pv_p_qbert_s1,ppo,qbert,nature,1,100000000,99999744,True,302.101,,192,128,8,,,,,,,fp32,False,,0,,,06236bf2,outputs/pv_p_qbert_s1
run,pv_p_qbert_s2,ppo,qbert,nature,2,100000000,99999744,True,318.985,,192,128,8,,,,,,,fp32,False,,0,,,06236bf2,outputs/pv_p_qbert_s2
run,pv_p_qbert_v2_s0,ppo,qbert.v2,nature,0,100000000,99999744,True,538.923,,192,128,8,,,,,,,fp32,False,,0,,,eaeb90f5,outputs/pv_p_qbert_v2_s0
run,pv_p_qbert_v2_s0_failed_badnode,ppo,qbert.v2,nature,0,100000000,0,False,,,192,128,8,,,,,,,fp32,False,,0,,,eaeb90f5,outputs/pv_p_qbert_v2_s0_failed_badnode
run,pv_p_qbert_v2_s1,ppo,qbert.v2,nature,1,100000000,99999744,True,538.77,,192,128,8,,,,,,,fp32,False,,0,,,eaeb90f5,outputs/pv_p_qbert_v2_s1
run,pv_p_qbert_v2_s1_failed_badnode,ppo,qbert.v2,nature,1,100000000,0,False,,,192,128,8,,,,,,,fp32,False,,0,,,eaeb90f5,outputs/pv_p_qbert_v2_s1_failed_badnode
run,pv_p_qbert_v2_s2,ppo,qbert.v2,nature,2,100000000,99999744,True,499.119,,192,128,8,,,,,,,fp32,False,,0,,,eaeb90f5,outputs/pv_p_qbert_v2_s2
run,pv_p_qbert_v2_s2_partial_35028897,ppo,qbert.v2,nature,2,100000000,29884416,False,145.333,,192,128,8,,,,,,,fp32,False,,0,,,eaeb90f5,outputs/pv_p_qbert_v2_s2_partial_35028897
run,pv_p_space_invaders_s0,ppo,space_invaders,nature,0,100000000,99999744,True,388.04,,192,128,8,,,,,,,fp32,False,,0,,,15a352b4,outputs/pv_p_space_invaders_s0
run,pv_p_space_invaders_s1,ppo,space_invaders,nature,1,100000000,99999744,True,397.881,,192,128,8,,,,,,,fp32,False,,0,,,15a352b4,outputs/pv_p_space_invaders_s1
run,pv_p_space_invaders_s2,ppo,space_invaders,nature,2,100000000,99999744,True,388.054,,192,128,8,,,,,,,fp32,False,,0,,,15a352b4,outputs/pv_p_space_invaders_s2
run,pv_p_starpilot_s0,ppo,starpilot,nature,0,100000000,99999744,True,28.701,,192,128,8,,,,,,,fp32,False,,0,,,eff33788,outputs/pv_p_starpilot_s0
run,pv_p_starpilot_s1,ppo,starpilot,nature,1,100000000,99999744,True,30.026,,192,128,8,,,,,,,fp32,False,,0,,,eff33788,outputs/pv_p_starpilot_s1
run,pv_p_starpilot_s2,ppo,starpilot,nature,2,100000000,0,False,,,192,128,8,,,,,,,fp32,False,,0,,,eff33788,outputs/pv_p_starpilot_s2
run,pv_p_vvvvvv_s0,ppo,vvvvvv,nature,0,100000000,99999744,True,131.897,,192,128,8,,,,,,,fp32,False,,0,,,d329c834,outputs/pv_p_vvvvvv_s0
run,pv_p_vvvvvv_s1,ppo,vvvvvv,nature,1,100000000,99999744,True,554.483,,192,128,8,,,,,,,fp32,False,,0,,,d329c834,outputs/pv_p_vvvvvv_s1
run,pv_p_vvvvvv_s2,ppo,vvvvvv,nature,2,100000000,99999744,True,302.195,,192,128,8,,,,,,,fp32,False,,0,,,d329c834,outputs/pv_p_vvvvvv_s2
