#{"t_start": 1776962053.208051, "env_id": "None"}
r,l,t
30.0,385,2.308659
70.0,402,2.3299
30.0,361,3.351302
60.0,684,4.675357
90.0,719,6.067651
60.0,464,6.47585
30.0,387,7.45632
60.0,600,8.402935
30.0,378,8.797679
40.0,426,10.075115
60.0,539,10.579351
50.0,510,11.891723
110.0,1000,14.140883
60.0,762,14.542648
30.0,342,15.526426
40.0,448,15.552484
30.0,331,16.802526
50.0,389,16.88216
60.0,508,19.368677
40.0,461,19.406445
30.0,326,20.337131
30.0,356,20.714447
30.0,389,21.655327
50.0,588,22.537823
50.0,412,24.190443
120.0,1000,25.116764
30.0,400,25.509242
40.0,423,26.470055
40.0,397,26.838648
70.0,415,28.136283
40.0,481,28.570471
40.0,520,29.908564
70.0,499,30.320965
30.0,362,31.305523
70.0,547,31.709287
60.0,463,33.412222
50.0,624,33.482285
30.0,325,34.364149
60.0,495,35.233488
80.0,528,36.141119
40.0,413,37.204355
30.0,335,38.036915
50.0,561,39.336481
60.0,508,39.800121
50.0,499,41.116441
40.0,433,41.207427
40.0,457,42.907848
70.0,642,43.320238
40.0,414,44.257611
40.0,454,44.71169
90.0,691,46.834678
70.0,577,46.858179
30.0,383,48.14416
50.0,415,48.199789
40.0,461,49.969493
80.0,628,50.074273
40.0,400,51.792002
80.0,765,52.714639
30.0,333,53.709677
160.0,780,54.549135
30.0,373,55.865162
60.0,601,57.263016
90.0,531,57.704718
50.0,407,59.085957
60.0,611,59.492575
40.0,515,61.624101
70.0,637,61.659007
30.0,379,63.137732
50.0,608,63.976271
120.0,605,66.198339
110.0,1000,66.71506
40.0,429,67.586297
40.0,465,68.454989
50.0,488,69.370002
40.0,411,69.848038
30.0,308,70.313554
40.0,405,71.216754
30.0,325,71.637557
60.0,493,73.040561
40.0,443,73.064263
40.0,540,75.66775
60.0,729,76.539882
70.0,522,77.487745
50.0,461,77.970697
30.0,335,78.800373
50.0,454,79.727904
40.0,419,80.190619
70.0,607,81.905623
150.0,761,82.821928
30.0,337,82.855697
60.0,533,84.619151
90.0,660,85.444109
40.0,413,86.335295
50.0,475,86.86997
40.0,424,87.718548
30.0,416,88.560287
40.0,518,89.616638
40.0,461,90.107377
50.0,465,91.870706
110.0,717,92.575399
