#{"t_start": 1776968990.998389, "env_id": "None"}
r,l,t
50.0,355,5.512825
50.0,503,7.80126
40.0,457,14.372324
30.0,376,14.543804
30.0,322,19.103992
50.0,438,28.0316
120.0,797,30.220338
30.0,368,34.741639
30.0,381,36.947234
30.0,383,41.529439
70.0,621,46.659437
30.0,357,46.66547
30.0,332,53.358607
30.0,353,53.419833
30.0,318,58.052703
50.0,595,64.60857
40.0,437,66.873913
40.0,481,73.582269
30.0,360,78.295963
90.0,741,80.30502
30.0,338,84.911275
30.0,338,85.010721
30.0,330,93.342489
40.0,402,93.644009
30.0,326,98.256554
40.0,380,100.637681
60.0,391,105.715071
40.0,401,110.04148
50.0,462,114.632412
30.0,322,114.715377
30.0,361,121.342926
30.0,336,121.363697
40.0,442,128.381742
70.0,529,130.537138
30.0,365,135.245007
30.0,312,135.313859
40.0,406,142.223475
40.0,500,144.331032
30.0,382,151.186329
40.0,464,151.259554
30.0,364,158.014664
40.0,419,158.118104
50.0,448,167.292345
50.0,527,167.396862
30.0,389,174.148953
90.0,853,183.633661
90.0,484,185.720086
30.0,384,190.401589
30.0,395,192.531958
30.0,326,197.165582
30.0,322,201.90866
80.0,822,206.403062
90.0,764,215.47174
110.0,756,219.917626
90.0,421,224.481335
30.0,334,226.867622
40.0,413,233.863759
100.0,802,238.29039
50.0,370,245.134778
160.0,858,249.57883
60.0,642,256.456251
120.0,630,260.94255
30.0,390,263.301515
30.0,336,265.697014
80.0,471,272.269709
30.0,308,274.779953
40.0,389,281.496086
40.0,431,281.645676
90.0,583,292.963116
90.0,924,297.653012
30.0,316,302.569649
70.0,646,304.69614
80.0,509,313.67774
30.0,377,320.419415
120.0,1000,320.593438
40.0,520,329.557269
60.0,521,329.723926
60.0,551,338.861907
50.0,612,341.17066
30.0,410,348.275273
80.0,553,348.316539
40.0,464,357.204692
60.0,733,361.729328
50.0,420,371.008775
80.0,688,371.047618
60.0,535,380.197435
80.0,873,386.996289
30.0,404,393.982076
120.0,1000,398.426919
50.0,406,400.76078
50.0,334,405.176458
30.0,418,409.690577
60.0,496,414.144471
40.0,382,420.870681
80.0,877,425.281617
80.0,511,429.795276
40.0,462,432.20891
40.0,417,436.579117
40.0,506,441.091907
80.0,667,447.755841
70.0,544,450.06338
